position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_angles,finger2_angles,finger3_angles,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce,finger1_link1_world_angles,finger1_link2_world_angles,finger1_link3_world_angles
[-0.89896953  0.97287655  0.9720535 ],[ 0.15176892  0.86915684 -0.40449005],[-0.01779362  0.02139532  1.02120829],[0.05056278 0.20630567 0.04172356],[-0.43150532  0.46698081  0.46658528],[ 0.5078581   4.20950508 -2.04643631],[-0.05447006  0.64501339  1.35765207],[-0.00021777 -0.023985   -0.02106045],[-0.0215202   0.0297337   0.03077383],[-0.00561527  0.01960245  0.00786398],[ 0.         -0.48042168 -0.25535792],0,1.321536212112817,[-1.31067414e-06 -1.05554134e-06  1.09935697e-06],[ 1.20454375e-07 -9.59913264e-07  7.58229209e-07],[ 2.85028433e-06 -3.96924538e-07 -1.91164939e-07],[0.56680589 0.55290308 0.52706055],[0.57437625 0.56128608 0.53590672],[0.47618751 0.45346289 0.42846163],0,[0 0 0],0,[0 0 0],[1.78240084 0.46426618 1.71555539],[1.78240077 0.46426549 1.71555522],[ 1.75991633 -0.04581246  1.61089541]
[-0.69664717  0.9449327   0.9651884 ],[-0.30467367  0.39213228  0.24199617],[-0.01918691  0.02328519  1.02313864],[0.04446917 0.21417421 0.04650309],[-0.33439064  0.45356762  0.46329033],[-1.51215708  1.82353735  1.45228982],[-0.05575731  0.6489048   1.35109246],[-0.00178185 -0.02184764 -0.00148002],[-0.05834015  0.04269422  0.03836829],[-0.00528625 -0.00432376 -0.00574725],[ 2.08166817e-17 -4.78480488e-01 -2.53678361e-01],0,1.3166745968969202,[-6.60953449e-07 -1.05065834e-06  2.09215657e-06],[ 1.20454375e-07 -8.66687362e-07  7.98833341e-07],[ 2.54122330e-06 -5.71110878e-08 -1.91325079e-07],[0.56497512 0.55126069 0.52554187],[0.57265608 0.55979783 0.53457038],[0.47354843 0.45081636 0.42604877],0,[0 0 0],0,[0 0 0],[1.80144844 0.4596434  1.7155183 ],[1.80144831 0.45964233 1.71551802],[ 1.77738937 -0.04854845  1.60154427]
[-0.9093763  0.9621228  0.9417809],[-0.03426635  0.4882853   0.19312894],[-0.02100566  0.02520943  1.02502215],[0.04378285 0.2239489  0.05032495],[-0.43650076  0.46181881  0.45205456],[-0.27412316  2.33539653  0.95303285],[-0.08049057  0.65473306  1.34958267],[0.02377325 0.01934617 0.00304216],[-0.02426747  0.0318612   0.01887848],[ 0.01170598 -0.01061174  0.01862846],[ 1.38777878e-17 -4.76752001e-01 -2.51739162e-01],0,1.3090545297367546,[-9.87461692e-07 -1.12647651e-06  2.06383451e-06],[ 1.20454375e-07 -2.18342237e-06  1.46738781e-06],[ 2.82533361e-06 -1.89885545e-07 -1.50425257e-07],[0.56241064 0.5486696  0.52297766],[0.57033861 0.55750026 0.53232825],[0.47115274 0.44842223 0.42366376],0,[0 0 0],0,[0 0 0],[1.81089285 0.4647385  1.72578082],[1.8108926  0.46473647 1.72578026],[ 1.78520287 -0.04250655  1.60723992]
[-0.74885976  0.96233726  0.95921636],[-0.17147565  0.5854354   0.00861895],[-0.02250338  0.0271341   1.02694058],[0.04033399 0.2356579  0.05047391],[-0.35945269  0.46192175  0.46042418],[-0.94651783  2.76598787  0.22429611],[-0.0717682   0.65353     1.34387958],[-0.00622219 -0.01377723  0.01222184],[-0.00625576  0.03444917  0.04357676],[ 0.00606136  0.00479532 -0.0023338 ],[ 2.08166817e-17 -4.74756964e-01 -2.49847769e-01],0,1.3010458087583847,[-7.93169107e-07 -3.47712969e-07  1.89312865e-06],[-4.50544147e-08 -1.74703600e-06  1.23161070e-06],[ 2.90916919e-06 -1.51908436e-07 -1.37092549e-07],[0.55986443 0.54618273 0.52060002],[0.56832439 0.55558771 0.5305528 ],[0.46865278 0.44592973 0.42128669],0,[0 0 0],0,[0 0 0],[1.82184188 0.46432183 1.73465714],[1.82184162 0.46431983 1.73465657],[ 1.79497889 -0.04173705  1.61079925]
[-0.7689966   0.97293353  0.9800552 ],[-0.04606205  0.15497041  0.31900704],[-0.02404138  0.02907997  1.02890074],[0.03941967 0.23878315 0.0568312 ],[-0.36911845  0.46700799  0.47042629],[-0.25321004  0.73754144  1.57731688],[-0.05448804  0.63521278  1.37027144],[-0.00857703 -0.01259024  0.01221304],[-0.01489137  0.0402063   0.04100193],[-0.00909397 -0.01166798 -0.00657696],[ 1.38777878e-17 -4.73087312e-01 -2.48037181e-01],0,1.2988822492691527,[-1.48592232e-06 -4.03174653e-07  1.72519206e-06],[-4.50544147e-08 -2.69066927e-06  1.92158004e-06],[ 3.53559973e-06 -2.49848961e-07 -1.07756159e-07],[0.55766512 0.54400419 0.51841338],[0.56592751 0.55324392 0.52822382],[0.46615906 0.44342695 0.41880175],0,[0 0 0],0,[0 0 0],[1.83529267 0.46628999 1.74162689],[1.83529242 0.46628816 1.74162634],[ 1.80666249 -0.03825998  1.61126662]
[-0.81354934  0.9742384   0.97940946],[0.10028565 0.3897121  0.1200521 ],[-0.02566848  0.03102845  1.03085959],[0.04142522 0.24657838 0.05921961],[-0.39050376  0.46763432  0.47011632],[0.35794801 1.89480209 0.45754606],[-0.06564192  0.64860195  1.35020137],[-0.02777287  0.01625588  0.01631857],[-0.02014547  0.02425287  0.03566777],[0.00135385 0.0077749  0.00250855],[ 0.         -0.47142976 -0.24596314],0,1.2929646217983182,[-2.25249598e-06 -4.66917927e-07  1.60480544e-06],[-4.50544147e-08 -3.76595034e-06  2.80919691e-06],[ 4.21545022e-06 -5.74779662e-07 -7.39180786e-08],[0.55473348 0.54094812 0.51532828],[0.56322199 0.55045093 0.52542333],[0.46383563 0.44110827 0.41636695],0,[0 0 0],0,[0 0 0],[1.83888665 0.46679483 1.74981581],[1.83888642 0.46679317 1.7498153 ],[ 1.80978096 -0.03734019  1.61772093]
[-0.80409324  0.9700557   0.9895259 ],[0.01155818 0.48098767 0.05693805],[-0.02727666  0.03296856  1.03283858],[0.04164902 0.25619876 0.06034673],[-0.38596472  0.46562669  0.47497275],[-0.08602142  2.30787992  0.25714856],[-0.07697437  0.6508711   1.36076355],[ 0.02474261 -0.02151188 -0.02784026],[-0.02193731  0.0340976   0.06109465],[ 0.00053529  0.00276552 -0.0098056 ],[ 0.         -0.46964133 -0.24390859],0,1.286066471399696,[-1.80896817e-06 -1.92794809e-08  1.53360784e-06],[-7.13372713e-08 -3.01328693e-06  2.30067480e-06],[ 4.20512374e-06 -4.59823729e-07 -1.03247085e-07],[0.55185496 0.53799754 0.51239726],[0.56072006 0.54791568 0.52293227],[0.46144848 0.43872834 0.41394051],0,[0 0 0],0,[0 0 0],[1.84727367 0.46390091 1.75548602],[1.84727345 0.46389937 1.75548553],[ 1.81760155 -0.03920662  1.61932813]
[-0.72703016  0.9631922   0.9423723 ],[-0.08567315 -0.45013744 -0.3307762 ],[-0.02873072  0.03489494  1.0347234 ],[0.03994578 0.24721767 0.05366903],[-0.34897447  0.46233222  0.45233911],[-0.27244335 -2.17452478 -1.50082803],[-0.06374476  0.65686607  1.35328805],[-0.02007302  0.00381    -0.00259529],[-0.02540767  0.04722841  0.03927803],[-0.00130597  0.0024625   0.01191635],[-1.38777878e-17 -4.67602549e-01 -2.42537227e-01],0,1.297704630089179,[-1.45267392e-06  5.63455023e-07  1.41900466e-06],[-8.66807436e-08 -2.41108986e-06  1.90133942e-06],[ 4.22660261e-06 -3.67858984e-07 -1.11796970e-07],[0.54959151 0.53583754 0.51028664],[0.55839831 0.54565382 0.52069167],[0.45906496 0.4363483  0.41154899],0,[0 0 0],0,[0 0 0],[1.85790837 0.46245874 1.76130883],[1.85790815 0.46245726 1.76130834],[ 1.82723116 -0.03931846  1.62002161]
[-0.75883365  0.9689547   0.98687065],[-0.01947069  0.22919989  0.01539755],[-0.03024839  0.03683285  1.03669703],[0.03955411 0.25180176 0.05397443],[-0.36424011  0.46509832  0.4736976 ],[-0.15014292  1.09368789  0.09650793],[-0.08324196  0.62908608  1.36916268],[-0.02066746 -0.01245176  0.01969782],[-0.03737644  0.02422582  0.03271987],[ 0.01085468 -0.00046037  0.00245022],[-6.93889390e-18 -4.65780035e-01 -2.40651272e-01],0,1.2955373983974365,[-1.16812658e-06 -7.49918796e-07  1.76634841e-06],[ 1.03643656e-07 -1.92891485e-06  1.48132112e-06],[ 4.01089856e-06 -2.94287187e-07 -1.69597844e-07],[0.54694509 0.53317105 0.50764146],[0.55594144 0.54319735 0.51826963],[0.45665599 0.43394323 0.409113  ],0,[0 0 0],0,[0 0 0],[1.84818426 0.46524214 1.75070455],[1.84818407 0.46524078 1.75070412],[ 1.81822617 -0.03776539  1.6141151 ]
[-0.84233516  0.9587356   0.987921  ],[-0.4070729   0.10863554  0.5256418 ],[-0.03193306  0.03875032  1.03867292],[0.03142567 0.25408202 0.06445127],[-0.4043209   0.46019304  0.47420201],[-1.91783917  0.43452924  3.00262809],[-0.04255204  0.64758509  1.34914494],[-0.00488219 -0.00438169  0.00735655],[-0.02234481  0.04784781  0.03462342],[-0.02434953 -0.00040834 -0.0161144 ],[-6.93889390e-18 -4.63884319e-01 -2.39192627e-01],0,1.294180339998189,[-6.11245238e-07 -7.46266016e-07  2.61135513e-06],[ 1.03643656e-07 -1.84420642e-06  1.66474184e-06],[ 3.74491002e-06 -1.20855598e-09 -1.69536465e-07],[0.54584557 0.53237836 0.50695926],[0.55439031 0.5419856  0.5172135 ],[0.45382049 0.43108376 0.40660194],0,[0 0 0],0,[0 0 0],[1.85332578 0.46503698 1.75341314],[1.85332554 0.46503528 1.75341259],[ 1.8228093  -0.03733825  1.61434515]
