position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_angles,finger2_angles,finger3_angles,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce,finger1_link1_world_angles,finger1_link2_world_angles,finger1_link3_world_angles
[-0.3998087   0.82073975  0.4971347 ],[ 0.09897423 -0.550794   -0.01024896],[-0.07644156  0.47854516  1.4194541 ],[-0.09887818  0.04340561  0.03746723],[-0.19190824  0.3939549   0.23862441],[ 0.58084363 -2.62379742 -0.07584798],[-0.09663224  0.68871957  1.41181958],[ 0.02170655  0.01784315 -0.02803466],[-0.01719336  0.04047595  0.05198302],[ 0.00147361 -0.0117799  -0.00256455],[-6.93889390e-18 -5.00081074e-02  4.89963454e-03],0,2.8759469067760124,[-1.59014055e-06 -1.30570291e-06  6.92535147e-05],[ 1.16604675e-07 -4.69596228e-06  1.05066489e-04],[ 4.49750958e-05 -3.65781631e-07 -2.30450542e-06],[0.04119054 0.04300992 0.05969064],[0.04186197 0.04479569 0.06280877],[0.04823455 0.05414603 0.06427171],0,[0 0 0],0,[0 0 0],[1.63761503 0.620673   1.64659403],[1.63761174 0.62060417 1.64658837],[1.62542063 0.10157672 1.6132396 ]
[-0.7753498   0.75320864  0.15756714],[ 0.36116242  0.18785477 -0.223894  ],[-0.07799225  0.48005158  1.41976929],[-0.0916631   0.04718093  0.03300622],[-0.37216786  0.36154023  0.07563237],[ 1.69685316  0.966452   -1.1490407 ],[-0.09424154  0.67585826  1.39898324],[-0.01807784  0.0069555  -0.02413234],[-0.02812792  0.02164662  0.04843876],[ 0.01404312 -0.00158928  0.00240096],[ 6.93889390e-18 -4.90114507e-02  4.45846210e-03],0,2.8829595226055287,[-2.67415465e-06 -1.25402499e-06  6.92189274e-05],[ 1.16604675e-07 -3.71084090e-06  1.05508859e-04],[ 4.60541636e-05 -6.35058269e-07 -2.33338534e-06],[0.03914348 0.04125212 0.05842674],[0.04026264 0.04353718 0.06181668],[0.04832276 0.05486509 0.06555703],0,[0 0 0],0,[0 0 0],[1.62400531 0.61904202 1.63837176],[1.62400269 0.61897287 1.63836724],[1.61434068 0.09961469 1.61181083]
[-0.90499854  0.70746946  0.4525925 ],[-0.3345214   0.369866   -0.03324485],[-0.07980225  0.4814665   1.42067444],[-0.09834449  0.05457605  0.03231794],[-0.43439937  0.33958521  0.21724465],[-1.65856814  1.72157812 -0.08363673],[-0.09507322  0.66458875  1.4017067 ],[-0.02499796 -0.00313464 -0.03309135],[-0.0204639   0.04214914  0.03182675],[ 0.00532094 -0.00356612 -0.00635258],[ 0.         -0.04768016  0.00466945],0,2.8755991174785684,[-2.14510626e-06 -7.27563456e-07  6.91530071e-05],[-1.28380836e-07 -2.96927014e-06  1.05051823e-04],[ 4.60608475e-05 -5.08046615e-07 -2.34788051e-06],[0.03815646 0.04048383 0.05816135],[0.03969118 0.04333226 0.06208273],[0.04762692 0.0547319  0.065023  ],0,[0 0 0],0,[0 0 0],[1.6283512  0.61172109 1.63609288],[1.62834841 0.61165199 1.63608802],[1.61810761 0.09239358 1.60738422]
[-0.8624264   0.52101636 -0.31855428],[ 0.00763094 -0.14954948 -0.05881917],[-0.0815271   0.48250854  1.42003739],[-0.09818842  0.05158533  0.03114045],[-0.41396466  0.25008786 -0.15290609],[ 0.06015475 -0.71622497 -0.28458333],[-0.1159362   0.68010366  1.40439141],[-0.0016038  -0.01777224  0.00550184],[-0.01261273  0.03401379  0.05510557],[ 0.01895579 -0.0033954  -0.01052454],[-6.93889390e-18 -4.67857511e-02  4.57141797e-03],0,2.878295472391749,[-1.63934496e-06 -7.05748808e-07  7.00576964e-05],[-1.28380836e-07 -2.55167730e-06  1.05253890e-04],[ 4.58646503e-05 -2.42439237e-07 -2.35762644e-06],[0.03827071 0.04099798 0.05913961],[0.03969535 0.04376915 0.06284601],[0.04653229 0.05392621 0.06426711],0,[0 0 0],0,[0 0 0],[1.63768622 0.61812883 1.64112974],[1.63768294 0.61805983 1.64112407],[1.62556417 0.09903594 1.60774835]
[-0.89613503  0.57983136  0.40533996],[ 0.16912842 -0.19866496 -0.02439576],[-0.08331937  0.48366821  1.42084801],[-0.09480173  0.04761291  0.03064527],[-0.43014485  0.27831888  0.19456302],[ 0.84086895 -0.92784971 -0.1591403 ],[-0.10498244  0.68581361  1.41731358],[-0.00015071  0.02175995 -0.00065855],[-0.03367338  0.0439991   0.03800822],[-4.54053552e-05  1.13798250e-02 -1.61585752e-02],[ 1.38777878e-17 -4.59481762e-02  4.32822945e-03],0,2.8838709995210445,[-2.35548961e-06 -7.66134148e-07  7.00060125e-05],[-1.28380836e-07 -3.56926858e-06  1.06105308e-04],[ 4.65144476e-05 -5.73296178e-07 -2.32543103e-06],[0.03693496 0.03985869 0.05830756],[0.03817576 0.04244373 0.06172845],[0.04694707 0.05491221 0.06552046],0,[0 0 0],0,[0 0 0],[1.63401194 0.61808303 1.63781473],[1.6340088  0.61801312 1.6378093 ],[1.62255807 0.0988935  1.60626558]
[-0.04204983  0.6801559   0.65774035],[ 0.24639273  0.02581382 -0.01644862],[-0.08340348  0.48502851  1.42216349],[-0.08987411  0.04813004  0.03031757],[-0.02018401  0.32647461  0.31571513],[ 1.17694235  0.16005272 -0.13524009],[-0.07668725  0.6880241   1.38698339],[ 0.00917557  0.01620111 -0.0035056 ],[-0.02176651  0.02859156  0.06000315],[ 0.00992414 -0.00424904 -0.00321248],[-6.93889390e-18 -4.49441909e-02  4.01196381e-03],0,2.888913790858797,[-3.32889333e-06 -8.49110355e-07  6.99294129e-05],[-1.28380836e-07 -4.96649203e-06  1.07286122e-04],[ 4.73954976e-05 -1.02447956e-06 -2.28120614e-06],[0.0347536  0.03783224 0.05651843],[0.03605775 0.04053934 0.05997675],[0.04776699 0.05650928 0.0674679 ],0,[0 0 0],0,[0 0 0],[1.62900391 0.61483967 1.63425627],[1.62900104 0.61476978 1.63425129],[1.61855308 0.09552708 1.60521378]
[-0.25532854  0.5815718  -0.59561   ],[-0.05871826  0.00354552  0.2161336 ],[-0.08391413  0.48619166  1.42097223],[-0.09105242  0.04820576  0.03464015],[-0.12255767  0.27915445 -0.28589287],[-0.28290775  0.00899107  1.05103374],[-0.10246699  0.68111503  1.40474284],[-0.01416368 -0.01139844 -0.02411261],[-0.03522325  0.04109563  0.07187804],[-0.00077995 -0.00740657  0.00244031],[ 0.         -0.04357297  0.00393659],0,2.8879821066638414,[-2.86778924e-06 -8.29348347e-07  7.07589687e-05],[-1.28380836e-07 -4.55927218e-06  1.07765344e-04],[ 4.72171751e-05 -7.82304335e-07 -2.29016656e-06],[0.03543675 0.03902455 0.05805067],[0.03653955 0.04171473 0.0615144 ],[0.04593256 0.05500885 0.06588388],0,[0 0 0],0,[0 0 0],[1.62943818 0.60990443 1.63394245],[1.62943532 0.60983463 1.63393745],[1.61905426 0.09060324 1.60469685]
[-0.82260686  0.71952486  0.09502244],[-0.20081323 -0.00808251 -0.07066929],[-0.08555935  0.4876307   1.42116237],[-0.09506919  0.04804153  0.03322702],[-0.39485136  0.34537175  0.04561058],[-0.96101725 -0.07206081 -0.29277688],[-0.09187748  0.68060279  1.39906561],[-0.01907702  0.00720933  0.01510312],[-0.0235756   0.03959843  0.04221324],[-0.02116983  0.00720925 -0.0130365 ],[ 6.93889390e-18 -4.22834273e-02  3.99216905e-03],0,2.8864089595246614,[-3.48922848e-06 -8.86542605e-07  7.09036778e-05],[-1.28380836e-07 -5.49552102e-06  1.08853624e-04],[ 4.78287295e-05 -1.12261964e-06 -2.25935884e-06],[0.03496591 0.03907175 0.05858189],[0.03610884 0.04181664 0.06203355],[0.04496927 0.05461349 0.06520478],0,[0 0 0],0,[0 0 0],[1.62957777 0.61107777 1.63840175],[1.62957486 0.61100713 1.63839668],[1.61913457 0.0917799  1.60908347]
[ 0.7165158  -0.13194478 -0.5059425 ],[-0.1170876  -0.39000237  0.2780751 ],[-0.08412631  0.48736683  1.4201504 ],[-0.09742288  0.04025177  0.03880697],[ 0.34392759 -0.0633335  -0.24285248],[-0.49664956 -1.88865232  1.36411071],[-0.08793483  0.69757706  1.39437509],[-0.00718698  0.00282458  0.01472922],[-0.0223287   0.04753344  0.04815397],[-0.01174632  0.00393169  0.00743016],[-6.93889390e-18 -4.22940355e-02  4.07534130e-03],0,2.8856529211553443,[-2.91630282e-06 -8.61668594e-07  7.19360395e-05],[-1.28380836e-07 -4.99349538e-06  1.09348964e-04],[ 4.76078926e-05 -8.21256856e-07 -2.27061026e-06],[0.03688852 0.04102625 0.06052255],[0.03732826 0.04311337 0.0634138 ],[0.04397873 0.05327225 0.06372072],0,[0 0 0],0,[0 0 0],[1.62953922 0.6150938  1.6371597 ],[1.62953627 0.61502302 1.6371546 ],[1.61898468 0.0957926  1.60784953]
[-0.43806392  0.5708542  -0.02023363],[-0.24980348 -0.3066169   0.12149942],[-0.08500244  0.48850852  1.42010999],[-0.10241758  0.03412613  0.04125479],[-0.21027075  0.27400985 -0.00971233],[-1.13810682 -1.51691294  0.63204354],[-0.09484122  0.69423079  1.40103328],[ 0.03163247  0.02343183 -0.00458536],[-0.02729261  0.03555421  0.04061248],[-0.00718304  0.00330075  0.0044959 ],[ 0.         -0.04109704  0.00415373],0,2.883637573548693,[-3.53709870e-06 -9.18350190e-07  7.20913275e-05],[-1.28380836e-07 -5.91620794e-06  1.10480147e-04],[ 4.82123573e-05 -1.22568903e-06 -2.24008226e-06],[0.03722042 0.04181533 0.06173466],[0.03718714 0.04346163 0.06418485],[0.04293457 0.0526182  0.06272883],0,[0 0 0],0,[0 0 0],[1.62008477 0.61768074 1.63737793],[1.62008225 0.61760889 1.63737359],[1.61116646 0.09817126 1.61277631]
[-0.00146341  0.5250057   0.24757338],[ 0.45856106  0.17460382 -0.15414518],[-0.08500537  0.48955852  1.42060506],[-0.09325     0.03763309  0.03818958],[-0.00070249  0.25200257  0.11883502],[ 2.16364741  0.9283191  -0.81457031],[-0.09963656  0.7035768   1.40941894],[-0.0056597  -0.00620432 -0.0031011 ],[-0.01677997  0.03120214  0.04756109],[-0.00237024 -0.0091258   0.01180368],[-6.93889390e-18 -4.05331638e-02  3.73258977e-03],0,2.8921431555692774,[-4.03597618e-06 -9.67905652e-07  7.23808323e-05],[-1.28380836e-07 -6.70264422e-06  1.11676341e-04],[ 4.87547245e-05 -1.48952529e-06 -2.21313199e-06],[0.03527333 0.04013514 0.06005852],[0.03561318 0.04217382 0.06276154],[0.04351522 0.05378358 0.06453544],0,[0 0 0],0,[0 0 0],[1.61271724 0.62282862 1.63572914],[1.61271507 0.6227566  1.63572542],[1.60502453 0.10318063 1.61479254]
[-0.8345759  0.5887587  0.5498109],[-0.18760276  0.10353994  0.08786535],[-0.08667452  0.49073604  1.42170477],[-0.09700022  0.03970746  0.03994239],[-0.40059638  0.28260416  0.26390916],[-0.91813833  0.46234226  0.45547068],[-0.09177515  0.6842618   1.403373  ],[ 0.00289343  0.03036002 -0.01695456],[-0.02177304  0.03196929  0.03764892],[-0.00248125 -0.01919029  0.00601787],[-2.08166817e-17 -3.94261118e-02  3.77992061e-03],0,2.887909339121989,[-3.52366169e-06 -9.45212842e-07  7.33133653e-05],[-1.28380836e-07 -6.22386004e-06  1.12341104e-04],[ 4.85589881e-05 -1.22183176e-06 -2.22353388e-06],[0.03426175 0.03930507 0.05952176],[0.03461972 0.04150777 0.06237384],[0.04345973 0.05429671 0.06477672],0,[0 0 0],0,[0 0 0],[1.61674191 0.61358372 1.63466771],[1.61673957 0.61351141 1.63466364],[1.60852325 0.09400933 1.61174287]
[-0.7559497  -0.01405448  0.01396954],[0.13865197 0.3256433  0.03266776],[-0.08818642  0.49070793  1.42173266],[-0.09421462  0.04621945  0.0406043 ],[-0.36285576 -0.0067461   0.00670539],[0.60446221 1.5885005  0.1301434 ],[-0.09546707  0.68868548  1.4040544 ],[-0.00688856 -0.02433328 -0.0037218 ],[0.00697771 0.0353737  0.04413243],[-0.0110117  -0.01207104  0.00395862],[ 6.93889390e-18 -3.95628818e-02  3.69106461e-03],0,2.887684571701829,[-2.99867080e-06 -8.92070318e-07  7.43320807e-05],[-1.28380836e-07 -5.21107774e-06  1.12790276e-04],[ 4.84042247e-05 -8.53209883e-07 -2.25025095e-06],[0.03399615 0.03892949 0.058966  ],[0.03469646 0.0415784  0.06228669],[0.0435404  0.0543272  0.06498457],0,[0 0 0],0,[0 0 0],[1.61940319 0.61727428 1.63810187],[1.61940066 0.61720105 1.6380975 ],[1.6106182  0.09775065 1.61384122]
[-0.42751575  0.3490379  -0.29490602],[-0.00801146 -0.4411056   0.08986914],[-0.08904145  0.49140602  1.42114282],[-0.09436445  0.03739781  0.04240514],[-0.20520753  0.16753818 -0.14155494],[ 0.0519509  -2.11686134  0.43370172],[-0.12496021  0.68618691  1.39053369],[ 0.01547252  0.0302224  -0.01381937],[-0.01748134  0.03937723  0.05504379],[0.00566482 0.01148909 0.03197074],[-6.93889390e-18 -3.88947434e-02  3.61900224e-03],0,2.8894978074881026,[-2.45955835e-06 -8.67674521e-07  7.53126548e-05],[-1.28380836e-07 -4.72223494e-06  1.13240011e-04],[ 4.81990684e-05 -5.74031264e-07 -2.26134939e-06],[0.03465646 0.04000115 0.06025553],[0.0347817  0.04206384 0.06294164],[0.04268043 0.05363656 0.06431015],0,[0 0 0],0,[0 0 0],[1.62727611 0.61429928 1.64319154],[1.62727315 0.61422507 1.6431864 ],[1.6171511  0.09494576 1.61501195]
[-0.94217885 -0.09755868  0.4621054 ],[-0.06745607 -0.29484248 -0.04566288],[-0.09092581  0.49121091  1.42206705],[-0.09570323  0.03150044  0.04149475],[-0.45224589 -0.04682833  0.22181042],[-0.2614772  -1.42759073 -0.20742658],[-0.10473231  0.68022293  1.41212344],[-0.01471289  0.03716561 -0.0167489 ],[-0.02781902  0.04921116  0.05516557],[ 0.00538631 -0.00248303  0.00017974],[ 6.93889390e-18 -3.93481773e-02  3.70665622e-03],0,2.890987380122441,[-3.12877651e-06 -9.25853075e-07  7.54004856e-05],[-1.28380836e-07 -5.67563889e-06  1.14336494e-04],[ 4.88483497e-05 -8.72624541e-07 -2.23015287e-06],[0.0345743  0.03976676 0.06001893],[0.03441221 0.04138453 0.06228057],[0.0434527  0.05430497 0.06489908],0,[0 0 0],0,[0 0 0],[1.61648898 0.61470137 1.63877925],[1.61648655 0.61462614 1.63877504],[1.60829    0.09512364 1.6159782 ]
[-0.8506286   0.44565392  0.6560998 ],[-0.02957135  0.39081585 -0.14156657],[-0.09262706  0.49210221  1.4233793 ],[-0.09629212  0.03931658  0.03866456],[-0.40830177  0.21391372  0.31492773],[-0.21629809  1.86870956 -0.67423874],[-0.08973473  0.69934946  1.40056264],[ 0.01808798  0.03735304 -0.0059791 ],[-0.01675031  0.0257249   0.04924655],[-0.00359746  0.01459431 -0.00331856],[ 0.         -0.03879778  0.00369319],0,2.888462786474021,[-3.68906491e-06 -9.78061769e-07  7.56170048e-05],[-1.28380836e-07 -6.51257041e-06  1.15511040e-04],[ 4.94179685e-05 -1.22675056e-06 -2.20193081e-06],[0.03295639 0.0381657  0.05854799],[0.03335549 0.04041397 0.06137198],[0.0439394  0.05527503 0.06580631],0,[0 0 0],0,[0 0 0],[1.60930697 0.61617846 1.63376868],[1.60930492 0.61610312 1.63376513],[1.60236887 0.09647647 1.61454754]
[0.5571741  0.61096084 0.24608982],[ 0.31466675  0.26930285 -0.11330229],[-0.09151272  0.49332413  1.4238714 ],[-0.08999786  0.04471024  0.03641774],[0.26744351 0.29326108 0.11812295],[ 1.45964503  1.350209   -0.60268074],[-0.0871909   0.69725174  1.38612843],[ 0.0106948   0.00805632 -0.00820785],[-0.02638767  0.03807666  0.03984944],[-0.00505428  0.00477277 -0.02076522],[ 0.         -0.03794054  0.00338127],0,2.8916089267884604,[-3.96897233e-06 -1.01065717e-06  7.60303389e-05],[-1.28380836e-07 -6.99704285e-06  1.16633332e-04],[ 4.97974576e-05 -1.36136243e-06 -2.18385234e-06],[0.03112983 0.03673288 0.05713616],[0.03195928 0.03950438 0.06034849],[0.04413613 0.05612811 0.06708844],0,[0 0 0],0,[0 0 0],[1.61890055 0.61657783 1.63650529],[1.61889798 0.6165023  1.63650083],[1.61022328 0.09704431 1.61249702]
[ 0.71645045  0.66120744 -0.95117885],[ 0.10542333 -0.23366809  0.05625248],[-0.09007981  0.49464655  1.42196906],[-0.08788734  0.04003583  0.03753885],[ 0.34389618  0.31737953 -0.4565655 ],[ 0.54719931 -1.10238194  0.24760754],[-0.09502871  0.69243068  1.41389441],[ 0.0105327  -0.01391331  0.00910298],[-0.0333125   0.03541382  0.03620831],[ 0.01128276 -0.00390121  0.00321776],[ 0.         -0.03658889  0.00317603],0,2.8934799950309618,[-3.21789187e-06 -8.04270140e-07  7.59827933e-05],[-1.79481727e-07 -5.59872532e-06  1.15654068e-04],[ 4.96795604e-05 -1.08908994e-06 -2.29953562e-06],[0.03200433 0.03861413 0.05921585],[0.03252934 0.04116427 0.06209208],[0.04195523 0.05429679 0.06542072],0,[0 0 0],0,[0 0 0],[1.62527274 0.61013697 1.63766207],[1.62526984 0.61006105 1.63765702],[1.61562081 0.09073858 1.61049187]
[-0.53927517  0.3927827   0.81033003],[ 0.24389362 -0.2275675   0.03112006],[-0.09115837  0.49543211  1.4234513 ],[-0.08300683  0.03548303  0.03815056],[-0.25885212  0.18853556  0.3557409 ],[ 1.21099293 -1.04760158  0.10259185],[-0.09092678  0.69863421  1.41768384],[ 0.02977401 -0.00221176  0.00892319],[-0.02218616  0.01643563  0.0556884 ],[-0.00588547 -0.00888016  0.01801955],[-6.93889390e-18 -3.61277562e-02  2.95233541e-03],0,2.89855748413516,[-3.67594750e-06 -8.45954618e-07  7.61601996e-05],[-1.79481727e-07 -6.25424298e-06  1.16722024e-04],[ 5.01526035e-05 -1.22792247e-06 -2.27713480e-06],[0.03033316 0.0369958  0.05754113],[0.03059408 0.03927878 0.06009004],[0.04320722 0.05611811 0.06760086],0,[0 0 0],0,[0 0 0],[1.61950158 0.60816263 1.63539164],[1.61949901 0.60808674 1.63538713],[1.61092115 0.08864409 1.61110262]
[0.02954912 0.41453075 0.7677994 ],[ 0.27822924 -0.00620931  0.16099477],[-0.09109927  0.49626118  1.42498696],[-0.07744472  0.03535084  0.04137013],[0.01418352 0.19897461 0.36854351],[1.33427382 0.02132859 0.72542882],[-0.10018017  0.67883652  1.42863941],[ 0.00615603  0.00207665 -0.01607637],[-0.03563441  0.02259853  0.04868118],[ 0.00260234  0.01327535 -0.00513218],[-1.38777878e-17 -3.54699704e-02  2.69609685e-03],0,2.901202733067949,[-4.17643528e-06 -8.94314460e-07  7.64545239e-05],[-1.79481727e-07 -7.01470100e-06  1.17961069e-04],[ 5.07102649e-05 -1.41470141e-06 -2.25084843e-06],[0.02844384 0.03507438 0.05547898],[0.02857071 0.03740147 0.05801867],[0.0444558  0.05800529 0.06988138],0,[0 0 0],0,[0 0 0],[1.61381473 0.60340302 1.63258099],[1.61381248 0.60332693 1.63257701],[1.60633928 0.08377834 1.61113556]
[0.2840681 0.4236275 0.8774388],[ 0.22876108  0.2423122  -0.1905582 ],[-0.09053113  0.49710843  1.42674184],[-0.07287589  0.04020703  0.03757301],[0.13635269 0.20334113 0.4211705 ],[ 1.04889405  1.2078166  -0.95272118],[-0.09808721  0.68536705  1.39954686],[-0.03705163 -0.0006181  -0.00133685],[-0.02704072  0.04688117  0.01776461],[ 0.00914056 -0.00388922  0.00740182],[-6.93889390e-18 -3.51056345e-02  2.51858655e-03],0,2.904129502025407,[-4.20919371e-06 -8.96138478e-07  7.70133662e-05],[-1.79481727e-07 -6.95129285e-06  1.18949685e-04],[ 5.09066849e-05 -1.45201454e-06 -2.24909677e-06],[0.02602546 0.03276828 0.05305167],[0.02661782 0.03553921 0.05594101],[0.04577065 0.05995399 0.07213777],0,[0 0 0],0,[0 0 0],[1.6134966  0.59784959 1.63542384],[1.61349438 0.5977732  1.63541989],[1.60619503 0.07822002 1.61414652]
[-0.9358155   0.09651697  0.12158   ],[-0.6842683  -0.18832505  0.06273937],[-0.09240276  0.49730146  1.42698503],[-0.08656018  0.03644938  0.03885438],[-0.44919145  0.0463281   0.05835871],[-3.24497008 -1.02654266  0.43337131],[-0.09027417  0.6810109   1.3978529 ],[-0.02156569 -0.02437099  0.01497261],[-0.02057626  0.04990203  0.04628724],[ 0.00949033  0.02161193 -0.01188676],[-6.93889390e-18 -3.48518668e-02  2.97273473e-03],0,2.893686067248237,[-3.42295106e-06 -7.12683905e-07  7.69447110e-05],[-2.10182736e-07 -5.56217996e-06  1.17967432e-04],[ 5.07683908e-05 -1.16161163e-06 -2.37419149e-06],[0.02746235 0.03418172 0.05499509],[0.02773123 0.03660398 0.05761333],[0.0447799  0.05871472 0.06994329],0,[0 0 0],0,[0 0 0],[1.61922409 0.59316512 1.63466688],[1.61922157 0.5930882  1.63466239],[1.61105572 0.07364435 1.61054556]
[ 0.48551846  0.29643726 -0.03028381],[ 0.17445254 -0.7539663  -0.14918715],[-0.09143173  0.49789432  1.42692447],[-0.08300402  0.02137611  0.03583417],[ 0.2330488   0.14228974 -0.0145364 ],[ 0.98760074 -3.58320785 -0.74951106],[-0.09014604  0.6889419   1.40482223],[-0.01970797 -0.00963302 -0.01302837],[-0.02196104  0.03170741  0.05865968],[ 0.00646522 -0.00645214 -0.00916942],[ 0.         -0.03464212  0.00281801],0,2.902121425282816,[-3.85212540e-06 -7.54968071e-07  7.72345742e-05],[-2.10182736e-07 -6.22628521e-06  1.19059050e-04],[ 5.12462681e-05 -1.39294789e-06 -2.35113571e-06],[0.02734397 0.03475387 0.05559963],[0.02692723 0.03616643 0.05713324],[0.04479885 0.05898064 0.07050096],0,[0 0 0],0,[0 0 0],[1.6150933  0.60692942 1.63413995],[1.61509093 0.60685255 1.6341358 ],[1.60731736 0.08732717 1.61205074]
[-0.5409165  0.6280253  0.0837934],[-0.2248385   0.42945552 -0.03171957],[-0.09251356  0.49915037  1.42709196],[-0.08748858  0.02996381  0.03518149],[-0.25963989  0.30145213  0.04022077],[-1.14843118  2.02154756 -0.12901697],[-0.09754756  0.68811333  1.3887701 ],[-0.03896957 -0.0147529  -0.01361717],[-0.0171768   0.03760515  0.01821543],[-0.00471321  0.00289645  0.00276235],[ 2.08166817e-17 -3.34745040e-02  2.88406323e-03],0,2.8949767179125105,[-3.35063969e-06 -7.31779969e-07  7.81539334e-05],[-2.10182736e-07 -5.74453295e-06  1.19661785e-04],[ 5.10542724e-05 -1.14788351e-06 -2.36181046e-06],[0.0268868  0.0347029  0.05574707],[0.02696064 0.03676624 0.05789857],[0.043794   0.0584207  0.06960129],0,[0 0 0],0,[0 0 0],[1.59668375 0.60366512 1.62054157],[1.59668238 0.60358791 1.62053915],[1.59218272 0.08379805 1.60763431]
[-0.5890377  -0.27872932 -0.7234214 ],[-0.5063098  -0.33352315  0.07823038],[-0.09369163  0.49859291  1.42564511],[-0.0976095   0.02330155  0.03678104],[-0.28273815 -0.13379009 -0.34724188],[-2.36907411 -1.68524194  0.44857135],[-0.09276813  0.69500738  1.41883659],[ 0.00653661 -0.02726623 -0.04173541],[-0.0191922   0.01827216  0.04710175],[ 0.01100598 -0.01519475  0.00316355],[-1.38777878e-17 -3.38381494e-02  3.25024331e-03],0,2.8875186854847805,[-2.69088242e-06 -4.16734465e-07  7.81362754e-05],[-2.29997399e-07 -4.59658598e-06  1.18860824e-04],[ 5.09820881e-05 -9.18306811e-07 -2.45147313e-06],[0.029698   0.03763983 0.05905533],[0.02929954 0.03914741 0.06072677],[0.04199558 0.05586065 0.06634024],0,[0 0 0],0,[0 0 0],[1.60722173 0.60800137 1.62600486],[1.60721975 0.60792327 1.62600139],[1.6008087  0.08826887 1.60783795]
[-0.27823925  0.8090128   0.67000604],[ 0.40206325  0.28381658 -0.22460145],[-0.09424812  0.50021094  1.42698514],[-0.08957633  0.02899702  0.03231454],[-0.13355491  0.38832593  0.3216027 ],[ 1.87894058  1.43266201 -1.12235916],[-0.08973543  0.70030659  1.39877331],[-0.01597664 -0.02256021 -0.02082045],[-0.02565643  0.03705788  0.05404471],[0.00248366 0.0047217  0.00759151],[ 6.93889390e-18 -3.27815155e-02  2.89631182e-03],0,2.893692987331697,[-3.41612278e-06 -4.78166327e-07  7.81843468e-05],[-2.29997399e-07 -5.60704833e-06  1.19980379e-04],[ 5.16661881e-05 -1.27651927e-06 -2.41862132e-06],[0.02690224 0.03538262 0.05656256],[0.02704846 0.03739907 0.05864435],[0.04285266 0.05773476 0.06876981],0,[0 0 0],0,[0 0 0],[1.59929833 0.61823532 1.62331454],[1.59929674 0.61815721 1.6233118 ],[1.59413453 0.09839746 1.60908499]
[-0.25844777  0.4618063  -0.04962385],[-0.35630512 -0.36649776 -0.02452946],[-0.09476501  0.50113457  1.42688596],[-0.09668817  0.02166538  0.03184929],[-0.12405489  0.22166699 -0.0238195 ],[-1.64897656 -1.81341386 -0.06842814],[-0.10796826  0.69977123  1.41922009],[-0.00429534 -0.02118924  0.0198817 ],[-0.0387127   0.02343479  0.05992816],[ 0.00607879 -0.02408004  0.01124791],[-6.93889390e-18 -3.19461875e-02  3.04535101e-03],0,2.888386705750859,[-2.85308349e-06 -4.51921377e-07  7.92184023e-05],[-2.29997399e-07 -5.08034779e-06  1.20472498e-04],[ 5.14542062e-05 -9.83968997e-07 -2.43061924e-06],[0.02744591 0.03662103 0.05816845],[0.02718906 0.03810746 0.05972216],[0.04176792 0.05682485 0.06737246],0,[0 0 0],0,[0 0 0],[1.60609343 0.6101067  1.62255396],[1.60609151 0.61002857 1.62255059],[1.59984192 0.0903575  1.60494631]
[-0.8255701   0.21018124  0.74014056],[0.1490246  0.18245125 0.14085126],[-0.09641615  0.50155491  1.42836618],[-0.09370178  0.02531065  0.03467073],[-0.39627367  0.10088684  0.35526729],[0.68704522 0.8982091  0.66031247],[-0.09033372  0.66925293  1.42320275],[-0.02100425  0.0032816   0.0023479 ],[-0.02074776  0.03390415  0.05838378],[ 0.00308169 -0.01575274 -0.01144375],[ 6.93889390e-18 -3.16700078e-02  2.92266757e-03],0,2.8891016230276514,[-3.45597196e-06 -5.04076754e-07  7.93450377e-05],[-2.29997399e-07 -5.92369511e-06  1.21571605e-04],[ 5.20484063e-05 -1.28022425e-06 -2.40260494e-06],[0.02599509 0.03489486 0.05629985],[0.02581612 0.0366575  0.05811609],[0.04292873 0.05836645 0.06911829],0,[0 0 0],0,[0 0 0],[1.59727428 0.61733929 1.61718968],[1.59727279 0.6172601  1.61718711],[1.59248917 0.09747868 1.60397164]
[-0.05520058 -0.4142524   0.4409331 ],[0.17918408 0.01836395 0.17335117],[-0.09652655  0.5007264   1.42924809],[-0.0901202   0.02567249  0.03813827],[-0.02649624 -0.19884115  0.21164782],[0.85557061 0.1180594  0.81029898],[-0.09116802  0.68146014  1.39408875],[ 0.00971641 -0.03094582 -0.02732118],[-0.0075784   0.05023456  0.06096421],[ 5.82213420e-03 -5.89905721e-05  7.99440313e-03],[ 0.         -0.03256241  0.00288265],0,2.891864210217024,[-2.93754289e-06 -4.79326298e-07  8.03051546e-05],[-2.29997399e-07 -5.41951829e-06  1.22112233e-04],[ 5.18556558e-05 -1.01022173e-06 -2.41399920e-06],[0.02581252 0.03391378 0.05512724],[0.02550521 0.03567676 0.05696976],[0.04424829 0.0594037  0.07040868],0,[0 0 0],0,[0 0 0],[1.60168161 0.61429723 1.6224868 ],[1.60167988 0.61421792 1.62248381],[1.59614689 0.09448778 1.60707349]
