x action,y action,z action,roll action,pitch action,yaw action,x gripper,y gripper,z gripper,roll gripper,pitch gripper,yaw gripper,x velocity gripper,y velocity gripper,z velocity gripper,x target,y target,z target,roll target,pitch target,yaw target,x velocity target,y velocity target,z velocity target,closest distance,contact force,rewards
0.9999945,0.9999814,0.96399486,-0.45430022,0.99432003,0.9945208,-6.316480056401215e-10,-4.2949315607967284e-11,0.9999999993134777,0.3801428707944911,-1.2020516343038958,-2.7697776352304593,-1.1085083606587887e-07,6.543510888690207e-08,-8.207825186179463e-08,0.3673264839909141,0.9048465870963597,0.9598253765190238,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7796703499311418,0,0.3863997093949547
0.99940956,0.9999745,0.50736904,0.9345336,0.99997807,0.9999163,0.010900779129554304,0.0032726320254626608,0.9886276980163976,0.02293191763176778,-1.1677164329917757,-2.3566681728254704,3.018609184219324,1.6059235571578792,-4.529013866930233,0.36687948183079216,0.9040946762819858,0.9608119977279433,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7714194796372893,0,0.3943503715635881
0.999907,0.99996936,0.6605902,0.8841826,0.99995303,0.99976647,0.018956211785940494,0.008507655307939913,0.9758547094044392,0.07262314011050112,-1.1093858630910092,-2.291418120222317,1.8933849248848296,1.3575440875592584,-2.7676778121085066,0.3664324796706702,0.9033427654676119,0.9617986189368629,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7615113293984618,0,0.4035608604654738
0.9998834,0.9999653,0.6900109,0.8443482,0.99992824,0.999753,0.02564865887396188,0.014196339247799701,0.9664065429465265,0.12017867445046139,-1.0511180246249459,-2.226997123492413,1.5405904725014963,1.3193063105332443,-1.956699425588104,0.3659854775105483,0.9025908546532381,0.9627852401457825,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7501542192053808,0,0.4125083879307043
0.9998596,0.99996054,0.7215047,0.79640985,0.99989367,0.999748,0.031999387187559306,0.01970294420906847,0.9602890497322799,0.16605465269235237,-0.9929038012826586,-2.163236669065298,1.5135291538273155,1.3015636488156197,-1.144942274192131,0.36553847535042633,0.9018389438388642,0.963771861354702,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7398557773438125,0,0.4213427480183841
0.9998313,0.9999542,0.72447157,0.73123217,0.9998212,0.9997504,0.03830542968160263,0.025177930289678664,0.9575277491212358,0.20965975325213557,-0.9347312300696266,-2.100030350353727,1.4692749284600355,1.321115355234971,-0.3288135050912415,0.3650914731903044,0.9010870330244903,0.9647584825636216,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7304018616440812,0,0.43020551552711106
0.99983513,0.9999466,0.69512165,0.6543188,0.9996531,0.9997499,0.044557178130790624,0.03068335779107436,0.9581643254932305,0.2498940644464409,-0.8765875371889472,-2.037303524790096,1.4258545188891818,1.3184889583931685,0.4944582305932952,0.36464447103018244,0.9003351222101165,0.9657451037725412,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7216150717661669,0,0.43971229428869674
0.99983,0.9999409,0.6056191,0.57881165,0.9993048,0.99972177,0.050754317153513036,0.03621599889538901,0.9616874001811394,0.285999160691748,-0.8184636041259382,-1.9749978046145211,1.383901390185191,1.3269486819242486,0.851170538237208,0.3641974688700605,0.8995832113957426,0.9667317249814608,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7126167106063614,0,0.4493850554146346
0.9997945,0.9999392,0.507723,0.49079275,0.9987328,0.9996915,0.05689937480691765,0.041818845302498665,0.9651781945533843,0.31800207858130164,-0.760357601429985,-1.9130642777649036,1.3466732014440377,1.3416462095463066,0.6156950971904483,0.36375046670993855,0.8988313005813687,0.9677183461903803,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.7042223221941818,0,0.4593715992144428
0.9997654,0.99993515,0.4245211,0.40427792,0.99766624,0.9996666,0.0629970937834087,0.04754093132635417,0.9680614465382519,0.34512272608753536,-0.7022673222027267,-1.8514685130552777,1.312420466143116,1.3634718266355863,0.5265547104501652,0.3633034645498166,0.8980793897669949,0.9687049673992999,0.0,-0.0,0.0,-0.10728051842924805,-0.18045859544972373,0.23678909014068367,0.6963046707271678,0,0.46964355296207705
