x action,y action,z action,roll action,pitch action,yaw action,x gripper,y gripper,z gripper,roll gripper,pitch gripper,yaw gripper,x velocity gripper,y velocity gripper,z velocity gripper,x angular velocity gripper,y angular velocity gripper,z angular velocity gripper,x target,y target,z target,roll target,pitch target,yaw target,x velocity target,y velocity target,z velocity target,x angular velocity target,y angular velocity target,z angular velocity target,closest distance,contact force,rewards
-0.9657156,0.81617975,-0.19567257,0.9874315,0.7119161,0.06732929,-0.0051921833626619555,0.0033535896202121366,0.990756443295989,-2.4734826820659497,0.0943049563375179,-0.06205168138761674,-1.17222536220311,1.153969818115214,-2.6951494817684054,0.4475457766355731,7.057549201227064,0.6204103431279979,-0.38747044261017893,0.700107704226037,0.8568111488736153,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.6004772188193941,0,0.5057062403111703
-0.97416824,0.89902365,0.20301354,0.9997642,0.65847814,0.10957003,-0.010762316559917896,0.008329356268020466,0.9835645687292105,-2.414816327563375,0.1331542869172474,-0.055416887648526175,-1.1494121473311858,1.0446527928685836,-1.5516993952164841,10.102725803276956,5.917897040963999,-0.20085272386846725,-0.3869674513768173,0.7001813766352337,0.8575729637618023,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5924515089531854,0,0.513362172760936
-0.9750654,0.8948058,0.10957134,0.9996191,0.51831985,0.0627265,-0.016227787768931128,0.013280690947848957,0.9797878607427748,-2.35601234995569,0.16373958290436752,-0.05157393575538496,-1.134897494832144,1.0457029292799178,-0.7288424688218014,9.957335291849908,4.585470357543038,-0.9645647814924098,-0.3864644601434557,0.7002550490444305,0.8583347786499892,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5852848855244907,0,0.5206158612399584
-0.9740809,0.90480745,0.020599842,0.9995935,0.45258236,0.047027707,-0.02164798026990537,0.01826139333168823,0.9794136756991701,-2.2971533564766182,0.19044758866476377,-0.04867237290727171,-1.1355258498539225,1.0745987714317358,0.09210073129341995,9.864195871862037,3.9719268560029364,-1.3800890919600761,-0.3859614689100941,0.7003287214536272,0.8590965935381761,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5776643109660575,0,0.5284682235323255
-0.9750784,0.92129207,-0.14575034,0.99953103,0.37731862,0.019497156,-0.027068197031871678,0.023330760592914904,0.978868346631886,-2.2382345751624517,0.21271916546713385,-0.04741069010635509,-1.1420971192870364,1.105262730930899,-0.21892186792210544,9.777025324717936,3.2487467003920774,-1.868185704690628,-0.38545847767673247,0.700402393862824,0.8598584084263631,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.569709843325576,0,0.536865972570192
-0.97383535,0.91838884,-0.10491121,0.99947906,0.24306059,0.060858488,-0.03268216100646549,0.028422569526636715,0.9782658406859961,-2.1792746295971237,0.22705284238651563,-0.043752021170660516,-1.1716486717694914,1.0936732344739022,-0.10718579830264938,9.673422209143048,1.9657441095516595,-1.6039500769834074,-0.38495548644337085,0.7004760662720207,0.86062022331455,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5616451348175391,0,0.5456985331534021
-0.9726556,0.91706693,-0.10139364,0.9994273,0.15830362,0.077197075,-0.03839298106247588,0.03348301346290665,0.9777346873311439,-2.1202938234825055,0.2363784349028524,-0.03915329916968562,-1.188832155982121,1.1044046553230913,-0.1158682010104068,9.608254359140663,1.1778980543261572,-1.535632722948143,-0.38445249521000924,0.7005497386812175,0.861382038202737,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5536410629724384,0,0.5548666710059386
-0.97053355,0.916728,-0.07050377,0.99937105,0.09188688,0.09797883,-0.04417772707553479,0.03854694698188973,0.9773443449861995,-2.06130235429816,0.24177801559573214,-0.03334617284516685,-1.1977480094689135,1.1067546553133525,-0.07552710849556771,9.564956848792082,0.5807518089072611,-1.3853056552898397,-0.3839495039766476,0.7006234110904143,0.8621438530909239,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5458847907335858,0,0.5642640479666843
-0.96847975,0.9159515,-0.038324773,0.9993198,0.033433914,0.114069104,-0.04994556704788976,0.0436018209063431,0.977127220269298,-2.002301733275324,0.2437230665562858,-0.026603783151940195,-1.1809115539812696,1.1115419983587518,-0.03986954090291632,9.539095718202583,0.07031311393122715,-1.2478464661042232,-0.383446512743286,0.700697083499611,0.8629056679791108,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5384165657843655,0,0.573902391515613
-0.966456,0.9147532,-0.007605016,0.9992633,-0.016757667,0.12969208,-0.05568612167185657,0.04864970330548457,0.9770823201913629,-1.9432929151077174,0.2427015451052284,-0.01895060748906295,-1.1692046472426605,1.114096956911529,-0.007476032237780315,9.529567314469672,-0.3506796785471403,-1.0863933502359258,-0.3829435215099244,0.7007707559088078,0.8636674828672978,0.0,-0.0,0.0,0.12071789600677482,0.017681378207215992,0.18283557316486224,0.0,0.0,0.0,0.5312231262653928,0,0.583839522125674
