x action,y action,z action,roll action,pitch action,yaw action,x gripper,y gripper,z gripper,roll gripper,pitch gripper,yaw gripper,x velocity gripper,y velocity gripper,z velocity gripper,x target,y target,z target,roll target,pitch target,yaw target,x velocity target,y velocity target,z velocity target,closest distance,contact force,rewards
-0.8373432,0.9808639,-0.99724865,-0.45414078,-0.22031039,-0.8129702,8.67348730890164e-10,-6.040423284034098e-10,1.000000000699673,0.6400366053430245,0.4920627129784331,0.5806708572973224,1.0140921680168447e-07,-1.2068048804714238e-07,2.3494165794432642e-07,0.08037052980313818,0.7494183880478322,0.9849518549606594,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5757137381265576,0,0.8099189868379664
-0.4144715,0.9939265,-0.8021744,-0.98231286,-0.99435246,-0.07631189,0.0021173821239158534,0.008076902918895328,0.9899823795811582,0.5872003316331096,0.43618137629829024,0.48435044046511483,0.5629327256909911,1.8902996634645541,-2.4187355598427778,0.07946330552161011,0.7497288859877951,0.984595902371162,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.56952423994274,0,0.8516725405864989
-0.43318367,0.9914216,-0.767744,-0.9702349,-0.9902905,-0.3185171,0.0034464902889319105,0.014706603124540408,0.9836924340510923,0.52859851087517,0.37744860513660033,0.48011368331501986,-0.10335603228526444,1.2743323815916487,-1.3039340077621822,0.07855608124008205,0.7500393839277579,0.9842399497816646,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5629885086200314,0,0.8997767606638923
-0.39256513,0.9907931,-0.77349037,-0.9491324,-0.976893,-0.44016933,0.001320974656320794,0.02061803951004959,0.9789745376931283,0.4706446096247427,0.31893327663058485,0.46134447951207735,-0.5295169612917743,1.2118658067224781,-0.9614616428596573,0.07764885695855399,0.7503498818677208,0.9838839971921672,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5575876587337006,0,0.9529231051996879
-0.46600974,0.9899342,-0.7612825,-0.91074467,-0.9472584,-0.5312305,-0.0009967299672002166,0.02638128044785469,0.9746676281306594,0.41404395458826054,0.2612094816341792,0.4353308850283505,-0.38590732722715776,1.192481666609357,-0.9508111277872958,0.07674163267702593,0.7506603798076836,0.9835280446026698,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.552606488730631,0,1.0099748855430812
-0.44649762,0.98915195,-0.7525464,-0.86706644,-0.89571434,-0.5889858,-0.0036317606822150214,0.03205983234352337,0.9703691420368388,0.3598713489006206,0.20523367378477297,0.4039294670488851,-0.4860160100888362,1.1794484074826053,-0.950453697445115,0.07583440839549786,0.7509708777476465,0.9831720920131725,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5479829557369987,0,1.0692901149630036
-0.366589,0.9888321,-0.750032,-0.7825926,-0.7823764,-0.62276113,-0.006250044706954095,0.037700495890350315,0.9660381770808332,0.308448595013421,0.15229104164534465,0.3691436794922473,-0.44320607727927935,1.1745630644290992,-0.956505216730214,0.0749271841139698,0.7512813756876093,0.9828161394236751,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5436706986566253,0,1.1275088345865856
-0.27446795,0.98853993,-0.74078256,-0.6634078,-0.581271,-0.629745,-0.008414386181426413,0.04334287936439547,0.9615657440222924,0.262182864298849,0.10603173862360271,0.3323897075337312,-0.36037166309043916,1.1761879237666264,-0.9802967932578986,0.07401995983244174,0.7515918736275722,0.9824601868341777,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5396166621510458,0,1.1812177539656186
-0.20677125,0.9886075,-0.7191716,-0.5642648,-0.3616299,-0.6176435,-0.010034844856780412,0.04902288066882706,0.9571466375722367,0.22308417892824028,0.07164511351753011,0.29523298188588093,-0.2698129604085228,1.1832204092811236,-0.9272277626625327,0.07311273555091367,0.751902371567535,0.9821042342446803,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5357398542660448,0,1.230308324785003
-0.18570447,0.9884957,-0.6767619,-0.5263005,-0.2210818,-0.58919936,-0.011255622431925322,0.05476485313029863,0.952899121428275,0.18988697847393562,0.05022811224797234,0.25878812991254296,-0.20326441062163036,1.193623171259282,-0.8715876048789217,0.07220551126938561,0.7522128695074979,0.9817482816551829,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5319630371011974,0,1.2769205865800735
-0.14534652,0.9881693,-0.64032626,-0.4963081,-0.15413547,-0.5589623,-0.012352021646744586,0.0605858602025223,0.9489445007040193,0.15892061548724526,0.03710730161511796,0.22401944153526085,-0.18255490929844556,1.2065172148686225,-0.7953363549678074,0.07129828698785755,0.7525233674474607,0.9813923290656855,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5282234289486901,0,1.3216790242737835
-0.10060191,0.9877336,-0.5998925,-0.47337216,-0.114616156,-0.52817345,-0.013210147558974667,0.06647059844332578,0.945246728929897,0.12970302858992122,0.027940502089624075,0.1910326949798717,-0.14288143805922646,1.2152511040194902,-0.7333991068747642,0.07039106270632949,0.7528338653874236,0.9810363764761881,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5244978738872884,0,1.3646756075604891
-0.06043887,0.98727715,-0.5565379,-0.45529497,-0.090973556,-0.4965943,-0.013804101278626683,0.07234965956587246,0.9418224672400167,0.10181858312979981,0.021109594682591812,0.15986110065639514,-0.09889568781992764,1.2037247944536544,-0.6626240867652704,0.06948383842480142,0.7531443633273864,0.9806804238866907,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5208181487560285,0,1.4058071545991857
-0.027181089,0.9868767,-0.5177807,-0.43931717,-0.07979041,-0.4744711,-0.014160932381419225,0.07821508388875416,0.9386918054084621,0.07498352013882535,0.01567786703874709,0.13055212197448726,-0.05941386724875722,1.1970440227902315,-0.5890317811582974,0.06857661414327336,0.7534548612673493,0.9803244712971934,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5171655227567286,0,1.445332407152186
-0.094177544,0.98724294,-0.50803256,-0.2699135,-0.090641916,-0.35128295,-0.014321409597486505,0.0840699934992373,0.9358024952255853,0.04907884781029062,0.010909137051605983,0.10254840036957498,-0.026720112160833073,1.1909433492872445,-0.5492394969237921,0.0676693898617453,0.7537653592073121,0.979968518707696,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5134115127957096,0,1.4743988873008402
-0.10527432,0.9882622,-0.49764693,-0.126863,-0.107646465,-0.20910913,-0.014877433834604476,0.08989016820594325,0.9329343448754976,0.03316015708176435,0.005530746733047319,0.08181522524523215,-0.09258029461803655,1.1853783661354513,-0.53092220927885,0.06676216558021723,0.754075857147275,0.9796125661181986,0.0,-0.0,0.0,-0.2177338275667393,0.07451950559111951,-0.08542862147936384,0.5089841621696971,0,1.4926373358704343
